"RingNR","Opponent1_ID","Opponent2_ID","TrialID","GroupID","Producing_events","Scrounging_events","TrialNR_Indiv","Trial_day_bin","Grp_tr_b4","bmr_YN","Year","Series_ID_year","Series_opp1_year","Series_opp2_year"
"8P26892","8P26894","8P26876","17_3",2,4,0,2,0,0,1,2022,"8P26892_2022","8P26894_2022","8P26876_2022"
"8P26894","8P26876","8P26892","17_3",2,0,3,3,0,0,1,2022,"8P26894_2022","8P26876_2022","8P26892_2022"
"8P14988","8P26803","8P26892","18_1",2,2,0,3,0,0,1,2022,"8P14988_2022","8P26803_2022","8P26892_2022"
"8P26892","8P14988","8P26803","18_1",2,1,1,3,0,0,1,2022,"8P26892_2022","8P14988_2022","8P26803_2022"
"8P14988","8P26808","8P26892","19_1",2,1,1,4,0,0,1,2022,"8P14988_2022","8P26808_2022","8P26892_2022"
"8P26808","8P26892","8P14988","19_1",2,2,0,4,0,0,1,2022,"8P26808_2022","8P26892_2022","8P14988_2022"
"8P26892","8P14988","8P26808","19_1",2,1,0,4,0,0,1,2022,"8P26892_2022","8P14988_2022","8P26808_2022"
"8P26803","8P26876","8P26894","19_3",2,4,0,4,0,0,1,2022,"8P26803_2022","8P26876_2022","8P26894_2022"
"8P26876","8P26894","8P26803","19_3",2,1,1,4,0,0,1,2022,"8P26876_2022","8P26894_2022","8P26803_2022"
"8P26894","8P26803","8P26876","19_3",2,1,0,4,0,0,1,2022,"8P26894_2022","8P26803_2022","8P26876_2022"
"8P26808","8P26894","8P26803","20_2",2,2,0,5,0,0,1,2022,"8P26808_2022","8P26894_2022","8P26803_2022"
"8P26894","8P26803","8P26808","20_2",2,2,2,5,0,0,1,2022,"8P26894_2022","8P26803_2022","8P26808_2022"
"8P26808","8P26892","8P26894","21_1",2,1,0,6,0,0,1,2022,"8P26808_2022","8P26892_2022","8P26894_2022"
"8P26892","8P26894","8P26808","21_1",2,1,0,5,0,0,1,2022,"8P26892_2022","8P26894_2022","8P26808_2022"
"8P26894","8P26808","8P26892","21_1",2,1,0,6,0,0,1,2022,"8P26894_2022","8P26808_2022","8P26892_2022"
"8P14988","8P26803","8P26876","21_2",2,1,0,5,0,0,1,2022,"8P14988_2022","8P26803_2022","8P26876_2022"
"8P26803","8P26876","8P14988","21_2",2,2,1,6,0,0,1,2022,"8P26803_2022","8P26876_2022","8P14988_2022"
"8P26876","8P14988","8P26803","21_2",2,2,0,5,0,0,1,2022,"8P26876_2022","8P14988_2022","8P26803_2022"
"8P14988","8P26876","8P26892","22_3",2,0,1,6,0,0,1,2022,"8P14988_2022","8P26876_2022","8P26892_2022"
"8P26876","8P26892","8P14988","22_3",2,4,0,6,0,0,1,2022,"8P26876_2022","8P26892_2022","8P14988_2022"
